time,DHG,target,VNINDEX_lag2,PHARMA_lag1
2024-01-02,103.07,1,1128.93,28.686379310344822
2024-01-03,103.63,0,1129.93,28.53620689655172
2024-01-04,101.67,0,1131.72,28.608448275862067
2024-01-05,101.1,0,1144.17,28.780689655172413
2024-01-08,101.01,1,1150.72,28.71948275862069
2024-01-09,102.14,0,1154.68,28.78862068965517
2024-01-10,100.54,1,1160.19,28.71396551724138
2024-01-11,101.1,0,1158.59,28.45189655172414
2024-01-12,100.26,0,1161.54,28.54310344827586
2024-01-15,99.98,0,1162.22,28.42534482758621
2024-01-16,99.89,0,1154.7,28.60293103448276
2024-01-17,97.45,1,1154.12,28.74258620689655
2024-01-18,98.76,1,1163.12,28.520000000000003
2024-01-19,98.95,1,1162.53,28.503275862068968
2024-01-22,99.42,1,1169.06,28.50396551724138
2024-01-23,100.73,1,1181.5,28.300689655172416
2024-01-24,101.1,1,1182.86,28.474827586206896
2024-01-25,101.2,0,1177.5,28.432413793103446
2024-01-26,99.89,0,1172.97,28.10551724137931
2024-01-29,99.89,1,1170.37,28.43396551724138
2024-01-30,100.17,0,1175.67,28.483275862068965
2024-01-31,99.32,1,1175.69,28.12603448275862
2024-02-02,99.42,0,1179.65,28.83206896551724
2024-02-05,99.32,0,1164.31,28.817241379310342
2024-02-06,99.32,1,1172.55,28.61655172413793
2024-02-07,100.54,0,1186.06,28.68103448275862
2024-02-15,100.45,0,1188.48,28.84551724137931
2024-02-16,99.79,1,1198.53,28.97189655172414
2024-02-19,101.29,1,1202.5,29.07086206896552
2024-02-20,103.45,0,1209.7,28.957241379310343
2024-02-21,103.07,0,1224.97,29.07293103448276
2024-02-22,102.51,0,1230.06,28.91103448275862
2024-02-23,101.67,1,1230.04,28.83827586206897
2024-02-26,101.85,1,1227.31,28.870172413793103
2024-02-27,102.14,0,1212.0,28.902413793103445
2024-02-28,101.39,1,1224.17,29.08362068965517
2024-02-29,102.14,0,1237.46,29.16586206896552
2024-03-01,102.04,1,1254.55,28.949827586206894
2024-03-04,102.42,0,1252.73,28.89862068965517
2024-03-05,102.04,0,1258.28,29.17586206896552
2024-03-06,102.04,1,1261.41,29.31396551724137
2024-03-07,105.88,0,1269.98,29.39862068965517
2024-03-08,103.54,0,1262.73,29.44448275862069
2024-03-11,103.07,1,1268.46,29.477758620689656
2024-03-12,104.2,1,1247.35,29.57672413793104
2024-03-13,105.7,0,1235.49,29.602241379310342
2024-03-14,104.95,0,1245.0,29.71775862068965
2024-03-15,104.01,1,1270.51,29.523448275862066
2024-03-18,110.19,1,1264.26,29.58189655172414
2024-03-19,110.57,0,1263.78,29.28293103448276
2024-03-20,109.26,1,1243.56,29.13637931034483
2024-03-21,109.35,0,1242.46,29.065
2024-03-22,108.88,1,1260.08,29.16551724137931
2024-03-25,108.98,1,1276.42,29.11362068965517
2024-03-26,109.44,0,1281.8,29.09879310344828
2024-03-27,108.98,0,1267.86,29.26137931034483
2024-03-28,108.98,1,1282.21,29.21051724137931
2024-03-29,109.07,0,1283.09,29.253103448275866
2024-04-01,109.07,0,1290.18,28.958448275862068
2024-04-02,108.69,0,1284.09,28.802413793103447
2024-04-03,108.23,0,1281.52,29.111724137931034
2024-04-04,107.85,1,1287.04,29.26586206896552
2024-04-05,108.13,0,1271.47,29.369137931034484
2024-04-08,107.76,0,1268.25,29.521034482758623
2024-04-09,107.29,1,1255.11,29.275172413793104
2024-04-10,107.66,0,1250.35,29.33051724137931
2024-04-11,107.29,1,1262.82,29.188103448275864
2024-04-12,108.69,0,1258.56,29.35293103448276
2024-04-15,107.29,1,1258.2,29.87379310344828
2024-04-16,107.38,0,1276.6,29.63172413793104
2024-04-17,107.2,0,1216.61,29.779827586206896
2024-04-19,104.29,0,1215.68,29.61793103448276
2024-04-22,104.2,1,1193.01,29.55103448275862
2024-04-23,104.76,1,1174.85,29.431896551724137
2024-04-24,105.88,1,1190.22,29.30310344827586
2024-04-25,106.54,1,1177.4,29.443103448275863
2024-04-26,106.91,0,1205.61,29.683275862068967
2024-05-02,106.63,0,1204.97,29.67551724137931
2024-05-03,106.35,0,1209.52,29.908947368421053
2024-05-06,102.14,1,1216.36,29.8961403508772
2024-05-07,105.88,0,1221.03,29.77298245614035
2024-05-08,105.51,1,1241.58,29.729824561403507
2024-05-09,106.45,1,1248.63,29.7740350877193
2024-05-10,107.01,1,1250.46,30.04929824561404
2024-05-13,109.35,0,1248.64,30.00052631578947
2024-05-14,109.26,0,1244.7,30.09140350877193
2024-05-15,109.07,0,1240.18,30.05368421052632
2024-05-16,108.32,0,1243.28,29.516896551724138
2024-05-17,108.32,1,1254.39,29.526379310344826
2024-05-20,108.41,1,1268.78,29.702758620689654
2024-05-21,108.6,0,1273.11,29.83586206896552
2024-05-22,108.51,1,1277.58,29.90379310344828
2024-05-23,108.79,1,1277.14,30.356896551724137
2024-05-24,110.01,0,1266.91,29.95068965517241
2024-05-27,110.01,1,1281.03,29.88258620689655
2024-05-28,110.19,1,1261.93,29.81603448275862
2024-05-29,112.26,1,1267.68,29.61448275862069
2024-05-30,115.72,0,1281.73,29.51620689655173
2024-05-31,115.63,0,1272.64,29.55362068965517
2024-06-03,113.66,1,1266.32,29.774655172413794
2024-06-04,114.32,0,1261.72,29.79741379310345
2024-06-05,113.57,1,1280.0,29.76206896551724
2024-06-06,113.75,1,1283.52,29.78879310344828
